AQI,Class
98.73787499999999,0
83.18984,0
101.84758225104822,1
79.93217791666667,1
83.55130583333333,0
60.65062351752504,0
48.099600173611115,0
75.57363389127326,0
63.71747997854077,0
59.4832125,1
53.528626686337624,1
62.65498280042919,0
37.42072708333333,0
34.69216840277778,0
21.654455833333333,0
25.382762916666668,0
67.55266791845494,1
56.970746037196,1
45.419621527777785,0
45.76739750000001,0
46.83732208333333,0
57.47454560085838,0
87.11705833333333,0
76.53854416666667,1
46.19691791666667,1
44.514260069444454,0
33.473141319444444,0
52.383835833333336,0
77.85284416666667,0
71.53098125,0
45.91480729166667,1
25.71253833333333,1
21.11412465277778,0
54.52225666666667,0
104.6654001860587,0
64.19915208333333,0
63.463535,0
29.576470416666666,1
36.559372083333336,1
28.593248715277785,0
70.00877504291846,0
84.76255166666667,0
83.83170041666666,0
34.11331125,0
34.54721583333333,1
40.951808159722226,1
63.73263666666666,0
29.142320833333333,0
49.95485666666667,0
67.34612791666667,0
46.38636041666666,0
36.792949166666666,1
32.48041916666667,1
28.673216041666667,0
30.124851666666668,0
38.796566250000005,0
55.74733791666667,0
58.137100833333335,0
61.30375541666666,1
